"ID","BOVEN_ID","TOP_ID","GUID","INV","AET","STUK_BESCHRIJVING","BOVENLIGGENDE_BESCHRIJVING","TOEGANG_BESCHRIJVING"
1104013,1104006,1103762,"609C5B9E9FD64642E0534701000A17FD","650.133","EB","133.  Legitimatiepapieren van Piet Mostert, schuilnaam Theo, 1943-1945","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104014,1104006,1103762,"609C5B9E9FD74642E0534701000A17FD","650.134","EB","134.  Legitimatiepapieren van Hilda Been, 1944-1945","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104015,1104006,1103762,"609C5B9E9FD84642E0534701000A17FD","650.135","EB","135.  Legitimatiepapieren van Cor Been, schuilnaam Grote Cor, 1944-1945","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104016,1104006,1103762,"609C5B9E9FD94642E0534701000A17FD","650.136","EB","136.  Legitimatiebewijzen van Ad Hazevoet, schuilnaam Adriaan Wijnbergen, 1944-1945","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104017,1104006,1103762,"609C5B9E9FDA4642E0534701000A17FD","650.136-a","EB","136-a.  Legitimatiebewijzen van Henk Das, schuilnaam Ruurd, 1942-1945","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
3214338,1104006,1103762,"609C5BA5A6534642E0534701000A17FD","650.130-a","EB","130-a.  Legitimatiepapieren van Siebe Gerhard Lijftogt, schuilnaam Siebe Gerhard Bontkes, 1941-1944","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1103920,1103919,1103762,"609C5B9EEDF64642E0534701000A17FD","650.58","EB","58.  Circulaire, waarin door het Vrouwenverzet wordt gewaarschuwd voor de te verwachten invoering van de arbeidsplicht voor jonge vrouwen, 1944 mei","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103921,1103919,1103762,"609C5B9EEDF74642E0534701000A17FD","650.59","EB","59.  Richtlijnen voor het aanstellen van vrouwelijk personeel in huisgezinnen, 1944 mei 17","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103922,1103919,1103762,"609C5B9EEDF84642E0534701000A17FD","650.60","EB","60.  Circulaire waarin wordt gewaarschuwd voor een op handen zijnde registratie van de vrouwelijke bevolking, [1944 juni]","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103923,1103919,1103762,"609C5B9EEDF94642E0534701000A17FD","650.61","EB","61.  Circulaire, waarin gewaarschuwd wordt voor straatcontroles van meisjes en jongens, 1944 juni","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103924,1103919,1103762,"609C5B9EEDFA4642E0534701000A17FD","650.62","EB","62.  Krantenknipsels betreffende de inzet van vrouwelijke werkkrachten ter opvoering van het arbeidspotentieel in Duitsland, 1944 juni 29 en 30","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103925,1103919,1103762,"609C5B9EEDFB4642E0534701000A17FD","650.63","EB","63.  Brochures, getiteld En wat zegt Gij .. Nederlandsche vrouwen en Vrouwen en meisjes van Nederland waarin wordt opgeroepen gedwongen tewerkstelling te weigeren. Gedrukt, z.j.","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103926,1103919,1103762,"609C5B9EEDFC4642E0534701000A17FD","650.64","EB","64.  Voor Nederlandse meisje een Nederlandse straf, circulaire waarin wordt opgeroepen om meisjes die omgang hebben gehad met Duitsers niet kaal te scheren, [1945]","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103927,1103919,1103762,"609C5B9EEDFD4642E0534701000A17FD","650.65","EB","65.  Brochures, getiteld Welkom Bondgenoot en Aan onze moeders, jeugdleidsters en sociale werksters waarin jonge vrouwen worden opgeroepen om zich tijdens de bevrijding fatsoenlijk te gedragen, [1945]","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103928,1103919,1103762,"609C5B9EEDFE4642E0534701000A17FD","650.66","EB","66.  Brochure, getiteld De terugkeer der Nederlandsche arbeiders uit het buitenland en de volksgezondheid waarin huisvrouwen worden gewezen op de gevaren voor besmettelijke ziektes bij hun teruggekeerde huisgenoot, [1945]","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103929,1103919,1103762,"609C5B9EEDFF4642E0534701000A17FD","650.67","EB","67.  Minuut van een brief van het Vrouwenverzet (door of namens Marie-Anne Tellegen) aan de commissie Brem te Amsterdam over het verstrekken van informatie over het Vrouwenverzet, 1945 aug. 7","1.7. Vrouwenverzet","650   Collectie Utrechts verzet   "
1103877,1103876,1103762,"609C5B9EF3014642E0534701000A17FD","650.28","EB","28.  Brief van de Top van het Centraal Bureau van de LO aan de (plaatsvervangend) Provinciaal leider betreffende de samenstelling en werkwijze van het Centraal Bureau, 1944 aug. 23","1.4. Landelijke organisatie voor hulp aan onderduikers (LO)","650   Collectie Utrechts verzet   "
1103878,1103876,1103762,"609C5B9EF3024642E0534701000A17FD","650.29","EB","29.  ""Mededelingen Topleden"", circulaires van het Centraal Bureau LO aan de provinciale leiders, 1944 sept.-1945 mrt.","1.4. Landelijke organisatie voor hulp aan onderduikers (LO)","650   Collectie Utrechts verzet   "
1103879,1103876,1103762,"609C5B9EF3034642E0534701000A17FD","650.29-a","EB","29-a.  Brief van Henk Das (""Ruurd"") aan Teus van Vliet (""Hugo"") over verscheidene zaken die, naar de opvatting van Ruurd, niet goed zijn georganiseerd, [1944]","1.4. Landelijke organisatie voor hulp aan onderduikers (LO)","650   Collectie Utrechts verzet   "
1103880,1103876,1103762,"609C5B9EF3044642E0534701000A17FD","650.29-b","EB","29-b.  Kaart van de provincie Utrecht, met daarin aangegeven de districten I t/m VIII van de LO. Foto, z.j.","1.4. Landelijke organisatie voor hulp aan onderduikers (LO)","650   Collectie Utrechts verzet   "
1103881,1103876,1103762,"609C5B9EF3054642E0534701000A17FD","650.30","EB","30.  Brieven van de districtsleiders Betuwe en Veenendaal aan de Provinciale Leider Utrecht/Betuwe over de toestand in hun district, 1944 okt. 13 en 19","1.4. Landelijke organisatie voor hulp aan onderduikers (LO)","650   Collectie Utrechts verzet   "
